U+00A1;¡;Inverted exclamation mark
U+2365;⍥;Apl Functional Symbol Circle Diaeresis
U+2366;⍦;Apl Functional Symbol Down Shoe Stile
U+2367;⍧;Apl Functional Symbol Left Shoe Stile
U+2368;⍨;Apl Functional Symbol Tilde Diaeresis
U+2369;⍩;Apl Functional Symbol Greater-than Diaeresis
U+236A;⍪;Apl Functional Symbol Comma Bar
U+236B;⍫;Apl Functional Symbol Del Tilde
U+236C;⍬;Apl Functional Symbol Zilde
U+236D;⍭;Apl Functional Symbol Stile Tilde
U+236E;⍮;Apl Functional Symbol Semicolon Underbar
U+236F;⍯;Apl Functional Symbol Quad Not Equal
U+2370;⍰;Apl Functional Symbol Quad Question
U+2371;⍱;Apl Functional Symbol Down Caret Tilde
U+2372;⍲;Apl Functional Symbol Up Caret Tilde
U+2373;⍳;Apl Functional Symbol Iota
U+2374;⍴;Apl Functional Symbol Rho
U+2375;⍵;Apl Functional Symbol Omega
U+2376;⍶;Apl Functional Symbol Alpha Underbar
U+2377;⍷;Apl Functional Symbol Epsilon Underbar
U+2378;⍸;Apl Functional Symbol Iota Underbar
U+2379;⍹;Apl Functional Symbol Omega Underbar
U+237A;⍺;Apl Functional Symbol Alpha
U+237B;⍻;Not Check Mark
U+237C;⍼;Right Angle With Downwards Zigzag Arrow
U+237D;⍽;Shouldered Open Box
U+237E;⍾;Bell Symbol
U+237F;⍿;Vertical Line With Middle Dot
U+2380;⎀;Insertion Symbol
U+2381;⎁;Continuous Underline Symbol
U+2382;⎂;Discontinuous Underline Symbol
U+2383;⎃;Emphasis Symbol
U+2384;⎄;Composition Symbol
U+2385;⎅;White Square With Centre Vertical Line
U+2386;⎆;Enter Symbol
U+2387;⎇;Alternative Key Symbol
U+2388;⎈;Helm Symbol
U+2389;⎉;Circled Horizontal Bar With Notch
U+238A;⎊;Circled Triangle Down
U+238B;⎋;Broken Circle With Northwest Arrow
U+238C;⎌;Undo Symbol
U+238D;⎍;Monostable Symbol
U+238E;⎎;Hysteresis Symbol
U+238F;⎏;Open-circuit-output H-Type Symbol
U+2390;⎐;Open-circuit-output L-Type Symbol
U+2391;⎑;Passive-pull-down-output Symbol
U+2392;⎒;Passive-pull-up-output Symbol
U+2393;⎓;Direct Current Symbol Form Two
U+2394;⎔;Software-function Symbol
U+2395;⎕;Apl Functional Symbol Quad
U+2396;⎖;Decimal Separator Key Symbol
U+2397;⎗;Previous Page
U+2398;⎘;Next Page
U+2399;⎙;Print Screen Symbol
U+239A;⎚;Clear Screen Symbol
U+239B;⎛;Left Parenthesis Upper Hook
U+239C;⎜;Left Parenthesis Extension
U+239D;⎝;Left Parenthesis Lower Hook
U+239E;⎞;Right Parenthesis Upper Hook
U+239F;⎟;Right Parenthesis Extension
U+23A0;⎠;Right Parenthesis Lower Hook
U+23A1;⎡;Left Square Bracket Upper Corner
U+23A2;⎢;Left Square Bracket Extension
U+23A3;⎣;Left Square Bracket Lower Corner
U+23A4;⎤;Right Square Bracket Upper Corner
U+23A5;⎥;Right Square Bracket Extension
U+23A6;⎦;Right Square Bracket Lower Corner
U+23A7;⎧;Left Curly Bracket Upper Hook
U+23A8;⎨;Left Curly Bracket Middle Piece
U+23A9;⎩;Left Curly Bracket Lower Hook
U+23AA;⎪;Curly Bracket Extension
U+23AB;⎫;Right Curly Bracket Upper Hook
U+23AC;⎬;Right Curly Bracket Middle Piece
U+23AD;⎭;Right Curly Bracket Lower Hook
U+23AE;⎮;Integral Extension
U+23AF;⎯;Horizontal Line Extension
U+23B0;⎰;Upper Left Or Lower Right Curly Bracket Section
U+23B1;⎱;Upper Right Or Lower Left Curly Bracket Section
U+23B2;⎲;Summation Top
U+23B3;⎳;Summation Bottom
U+23B4;⎴;Top Square Bracket
U+23B5;⎵;Bottom Square Bracket
U+23B6;⎶;Bottom Square Bracket Over Top Square Bracket
U+23B7;⎷;Radical Symbol Bottom
U+23B8;⎸;Left Vertical Box Line
U+23B9;⎹;Right Vertical Box Line
U+23BA;⎺;Horizontal Scan Line-1
U+23BB;⎻;Horizontal Scan Line-3
U+23BC;⎼;Horizontal Scan Line-7
U+23BD;⎽;Horizontal Scan Line-9
U+23BE;⎾;Dentistry Symbol Light Vertical And Top Right
U+23BF;⎿;Dentistry Symbol Light Vertical And Bottom Right
U+23C0;⏀;Dentistry Symbol Light Vertical With Circle
U+23C1;⏁;Dentistry Symbol Light Down And Horizontal With Circle
U+23C2;⏂;Dentistry Symbol Light Up And Horizontal With Circle
U+23C3;⏃;Dentistry Symbol Light Vertical With Triangle
U+23C4;⏄;Dentistry Symbol Light Down And Horizontal With Triangle
U+23C5;⏅;Dentistry Symbol Light Up And Horizontal With Triangle
U+23C6;⏆;Dentistry Symbol Light Vertical And Wave
U+23C7;⏇;Dentistry Symbol Light Down And Horizontal With Wave
U+23C8;⏈;Dentistry Symbol Light Up And Horizontal With Wave
U+23C9;⏉;Dentistry Symbol Light Down And Horizontal
U+23CA;⏊;Dentistry Symbol Light Up And Horizontal
U+23CB;⏋;Dentistry Symbol Light Vertical And Top Left
U+23CC;⏌;Dentistry Symbol Light Vertical And Bottom Left
U+23CD;⏍;Square Foot
U+23CE;⏎;Return Symbol
U+23CF;⏏;Eject Symbol
U+23D0;⏐;Vertical Line Extension
U+23D1;⏑;Metrical Breve
U+23D2;⏒;Metrical Long Over Short
U+23D3;⏓;Metrical Short Over Long
U+23D4;⏔;Metrical Long Over Two Shorts
U+23D5;⏕;Metrical Two Shorts Over Long
U+23D6;⏖;Metrical Two Shorts Joined
U+23D7;⏗;Metrical Triseme
U+23D8;⏘;Metrical Tetraseme
U+23D9;⏙;Metrical Pentaseme
U+23DA;⏚;Earth Ground
U+23DB;⏛;Fuse
U+23DC;⏜;Top Parenthesis
U+23DD;⏝;Bottom Parenthesis
U+23DE;⏞;Top Curly Bracket
U+23DF;⏟;Bottom Curly Bracket
U+23E0;⏠;Top Tortoise Shell Bracket
U+23E1;⏡;Bottom Tortoise Shell Bracket
U+23E2;⏢;White Trapezium
U+23E3;⏣;Benzene Ring With Circle
U+23E4;⏤;Straightness
U+23E5;⏥;Flatness
U+23E6;⏦;Ac Current
U+23E7;⏧;Electrical Intersection
U+23E8;⏨;Decimal Exponent Symbol
U+23E9;⏩;Black Right-pointing Double Triangle
U+23EA;⏪;Black Left-pointing Double Triangle
U+23ED;⏭;Black Right-pointing Double Triangle With Vertical Bar
U+23EE;⏮;Black Left-pointing Double Triangle With Vertical Bar
U+23EF;⏯;Black Right-pointing Triangle With Double Vertical Bar
U+23F1;⏱;Stopwatch
U+23F2;⏲;Timer Clock
U+23F3;⏳;Hourglass With Flowing Sand
U+23F4;⏴;Black Medium Left-pointing Triangle
U+23F5;⏵;Black Medium Right-pointing Triangle
U+23F6;⏶;Black Medium Up-pointing Triangle
U+23F7;⏷;Black Medium Down-pointing Triangle
U+23F8;⏸;Double Vertical Bar
U+23F9;⏹;Black Square For Stop
U+23FA;⏺;Black Circle For Record
U+23FB;⏻;Power Symbol
U+23FC;⏼;Power On-off Symbol
U+23FD;⏽;Power On Symbol
U+23FE;⏾;Power Sleep Symbol
U+00C0;À;Latin Capital Letter A with grave
U+00C1;Á;Latin Capital letter A with acute
U+00C2;Â;Latin Capital letter A with circumflex
U+00C3;Ã;Latin Capital letter A with tilde
U+00C4;Ä;Latin Capital letter A with diaeresis
U+00C5;Å;Latin Capital letter A with ring above
U+00C6;Æ;Latin Capital letter AE
U+00C7;Ç;Latin Capital letter C with cedilla
U+00C8;È;Latin Capital letter E with grave
U+00C9;É;Latin Capital letter E with acute
U+00CA;Ê;Latin Capital letter E with circumflex
U+00CB;Ë;Latin Capital letter E with diaeresis
U+00CC;Ì;Latin Capital letter I with grave
U+00CD;Í;Latin Capital letter I with acute
U+00CE;Î;Latin Capital letter I with circumflex
U+00CF;Ï;Latin Capital letter I with diaeresis
U+00D0;Ð;Latin Capital letter Eth
U+00D1;Ñ;Latin Capital letter N with tilde
U+00D2;Ò;Latin Capital letter O with grave
U+00D3;Ó;Latin Capital letter O with acute
U+00D4;Ô;Latin Capital letter O with circumflex
U+00D5;Õ;Latin Capital letter O with tilde
U+00D6;Ö;Latin Capital letter O with diaeresis
U+00D7;×;Multiplication sign
U+00D8;Ø;Latin Capital letter O with stroke
U+00D9;Ù;Latin Capital letter U with grave
U+00DA;Ú;Latin Capital letter U with acute
U+00DB;Û;Latin Capital Letter U with circumflex
U+00DC;Ü;Latin Capital Letter U with diaeresis
U+00DD;Ý;Latin Capital Letter Y with acute
U+00DE;Þ;Latin Capital Letter Thorn
U+00DF;ß;Latin Small Letter sharp S
U+00E0;à;Latin Small Letter A with grave
U+00E1;á;Latin Small Letter A with acute
U+00E2;â;Latin Small Letter A with circumflex
U+00E3;ã;Latin Small Letter A with tilde
U+00E4;ä;Latin Small Letter A with diaeresis
U+00E5;å;Latin Small Letter A with ring above
U+00E6;æ;Latin Small Letter AE
U+00E7;ç;Latin Small Letter C with cedilla
U+00E8;è;Latin Small Letter E with grave
U+00E9;é;Latin Small Letter E with acute
U+00EA;ê;Latin Small Letter E with circumflex
U+00EB;ë;Latin Small Letter E with diaeresis
U+00EC;ì;Latin Small Letter I with grave
U+00ED;í;Latin Small Letter I with acute
U+00EE;î;Latin Small Letter I with circumflex
U+00EF;ï;Latin Small Letter I with diaeresis
U+00F0;ð;Latin Small Letter Eth
U+00F1;ñ;Latin Small Letter N with tilde
U+00F2;ò;Latin Small Letter O with grave
U+00F3;ó;Latin Small Letter O with acute
U+00F4;ô;Latin Small Letter O with circumflex
U+00F5;õ;Latin Small Letter O with tilde
U+00F6;ö;Latin Small Letter O with diaeresis
U+00F7;÷;Division sign
U+00F8;ø;Latin Small Letter O with stroke
U+00F9;ù;Latin Small Letter U with grave
U+00FA;ú;Latin Small Letter U with acute
U+00FB;û;Latin Small Letter U with circumflex
U+00FC;ü;Latin Small Letter U with diaeresis
U+00FD;ý;Latin Small Letter Y with acute
U+00FE;þ;Latin Small Letter Thorn
U+00FF;ÿ;Latin Small Letter Y with diaeresis
U+0100;Ā;Latin Capital letter A with macron
U+0101;ā;Latin Small letter A with macron
U+0102;Ă;Latin Capital letter A with breve
U+0103;ă;Latin Small letter A with breve
U+0104;Ą;Latin Capital letter A with ogonek
U+0105;ą;Latin Small letter A with ogonek
U+0106;Ć;Latin Capital letter C with acute
U+0107;ć;Latin Small letter C with acute
U+0108;Ĉ;Latin Capital letter C with circumflex
U+0109;ĉ;Latin Small letter C with circumflex
U+010A;Ċ;Latin Capital letter C with dot above
U+010B;ċ;Latin Small letter C with dot above
U+010C;Č;Latin Capital letter C with caron
U+010D;č;Latin Small letter C with caron
U+010E;Ď;Latin Capital letter D with caron
U+010F;ď;Latin Small letter D with caron
U+0110;Đ;Latin Capital letter D with stroke
U+0111;đ;Latin Small letter D with stroke
U+0112;Ē;Latin Capital letter E with macron
U+0113;ē;Latin Small letter E with macron
U+0114;Ĕ;Latin Capital letter E with breve
U+0115;ĕ;Latin Small letter E with breve
U+0116;Ė;Latin Capital letter E with dot above
U+0117;ė;Latin Small letter E with dot above
U+0118;Ę;Latin Capital letter E with ogonek
U+0119;ę;Latin Small letter E with ogonek
U+011A;Ě;Latin Capital letter E with caron
U+011B;ě;Latin Small letter E with caron
U+011C;Ĝ;Latin Capital letter G with circumflex
U+011D;ĝ;Latin Small letter G with circumflex
U+011E;Ğ;Latin Capital letter G with breve
U+011F;ğ;Latin Small letter G with breve
U+0120;Ġ;Latin Capital letter G with dot above
U+0121;ġ;Latin Small letter G with dot above
U+0122;Ģ;Latin Capital letter G with cedilla
U+0123;ģ;Latin Small letter G with cedilla
U+0124;Ĥ;Latin Capital letter H with circumflex
U+0125;ĥ;Latin Small letter H with circumflex
U+0126;Ħ;Latin Capital letter H with stroke
U+0127;ħ;Latin Small letter H with stroke
U+0128;Ĩ;Latin Capital letter I with tilde
U+0129;ĩ;Latin Small letter I with tilde
U+012A;Ī;Latin Capital letter I with macron
U+012B;ī;Latin Small letter I with macron
U+012C;Ĭ;Latin Capital letter I with breve
U+012D;ĭ;Latin Small letter I with breve
U+012E;Į;Latin Capital letter I with ogonek
U+012F;į;Latin Small letter I with ogonek
U+0130;İ;Latin Capital letter I with dot above
U+0131;ı;Latin Small letter dotless I
U+0132;Ĳ;Latin Capital Ligature IJ
U+0133;ĳ;Latin Small Ligature IJ
U+0134;Ĵ;Latin Capital letter J with circumflex
U+0135;ĵ;Latin Small letter J with circumflex
U+0136;Ķ;Latin Capital letter K with cedilla
U+0137;ķ;Latin Small letter K with cedilla
U+0138;ĸ;Latin Small letter Kra
U+0139;Ĺ;Latin Capital letter L with acute
U+013A;ĺ;Latin Small letter L with acute
U+013B;Ļ;Latin Capital letter L with cedilla
U+013C;ļ;Latin Small letter L with cedilla
U+013D;Ľ;Latin Capital letter L with caron
U+013E;ľ;Latin Small letter L with caron
U+013F;Ŀ;Latin Capital letter L with middle dot
U+0140;ŀ;Latin Small letter L with middle dot
U+0141;Ł;Latin Capital letter L with stroke
U+0142;ł;Latin Small letter L with stroke
U+0143;Ń;Latin Capital letter N with acute
U+0144;ń;Latin Small letter N with acute
U+0145;Ņ;Latin Capital letter N with cedilla
U+0146;ņ;Latin Small letter N with cedilla
U+0147;Ň;Latin Capital letter N with caron
U+0148;ň;Latin Small letter N with caron
U+0149;ŉ;Latin Small letter N preceded by apostrophe
U+014A;Ŋ;Latin Capital letter Eng
U+014B;ŋ;Latin Small letter Eng
U+014C;Ō;Latin Capital letter O with macron
U+014D;ō;Latin Small letter O with macron
U+014E;Ŏ;Latin Capital letter O with breve
U+014F;ŏ;Latin Small letter O with breve
U+0150;Ő;Latin Capital Letter O with double acute
U+0151;ő;Latin Small Letter O with double acute
U+0152;Œ;Latin Capital Ligature OE
U+0153;œ;Latin Small Ligature OE
U+0154;Ŕ;Latin Capital letter R with acute
U+0155;ŕ;Latin Small letter R with acute
U+0156;Ŗ;Latin Capital letter R with cedilla
U+0157;ŗ;Latin Small letter R with cedilla
U+0158;Ř;Latin Capital letter R with caron
U+0159;ř;Latin Small letter R with caron
U+015A;Ś;Latin Capital letter S with acute
U+015B;ś;Latin Small letter S with acute
U+015C;Ŝ;Latin Capital letter S with circumflex
U+015D;ŝ;Latin Small letter S with circumflex
U+015E;Ş;Latin Capital letter S with cedilla
U+015F;ş;Latin Small letter S with cedilla
U+0160;Š;Latin Capital letter S with caron
U+0161;š;Latin Small letter S with caron
U+0162;Ţ;Latin Capital letter T with cedilla
U+0163;ţ;Latin Small letter T with cedilla
U+0164;Ť;Latin Capital letter T with caron
U+0165;ť;Latin Small letter T with caron
U+0166;Ŧ;Latin Capital letter T with stroke
U+0167;ŧ;Latin Small letter T with stroke
U+0168;Ũ;Latin Capital letter U with tilde
U+0169;ũ;Latin Small letter U with tilde
U+016A;Ū;Latin Capital letter U with macron
U+016B;ū;Latin Small letter U with macron
U+016C;Ŭ;Latin Capital letter U with breve
U+016D;ŭ;Latin Small letter U with breve
U+016E;Ů;Latin Capital letter U with ring above
U+016F;ů;Latin Small letter U with ring above
U+0170;Ű;Latin Capital Letter U with double acute
U+0171;ű;Latin Small Letter U with double acute
U+0172;Ų;Latin Capital letter U with ogonek
U+0173;ų;Latin Small letter U with ogonek
U+0174;Ŵ;Latin Capital letter W with circumflex
U+0175;ŵ;Latin Small letter W with circumflex
U+0176;Ŷ;Latin Capital letter Y with circumflex
U+0177;ŷ;Latin Small letter Y with circumflex
U+0178;Ÿ;Latin Capital letter Y with diaeresis
U+0179;Ź;Latin Capital letter Z with acute
U+017A;ź;Latin Small letter Z with acute
U+017B;Ż;Latin Capital letter Z with dot above
U+017C;ż;Latin Small letter Z with dot above
U+017D;Ž;Latin Capital letter Z with caron
U+017E;ž;Latin Small letter Z with caron
U+017F;ſ;Latin Small letter long S
U+0180;ƀ;Latin Small Letter B with Stroke
U+0181;Ɓ;Latin Capital Letter B with Hook
U+0182;Ƃ;Latin Capital Letter B with Top Bar
U+0183;ƃ;Latin Small Letter B with Top Bar
U+0184;Ƅ;Latin Capital Letter Tone Six
U+0185;ƅ;Latin Small Letter Tone Six
U+0186;Ɔ;Latin Capital Letter Open O
U+0187;Ƈ;Latin Capital Letter C with Hook
U+0188;ƈ;Latin Small Letter C with Hook
U+0189;Ɖ;Latin Capital Letter African D
U+018A;Ɗ;Latin Capital Letter D with Hook
U+018B;Ƌ;Latin Capital Letter D with Top Bar
U+018C;ƌ;Latin Small Letter D with Top Bar
U+018D;ƍ;Latin Small Letter Turned Delta
U+018E;Ǝ;Latin Capital Letter Reversed E
U+018F;Ə;Latin Capital Letter Schwa
U+0190;Ɛ;Latin Capital Letter Open E
U+0191;Ƒ;Latin Capital Letter F with Hook
U+0192;ƒ;Latin Small Letter F with Hook
U+0193;Ɠ;Latin Capital Letter G with Hook
U+0194;Ɣ;Latin Capital Letter Gamma
U+0195;ƕ;Latin Small Letter HV
U+0196;Ɩ;Latin Capital Letter Iota
U+0197;Ɨ;Latin Capital Letter I with Stroke
U+0198;Ƙ;Latin Capital Letter K with Hook
U+0199;ƙ;Latin Small Letter K with Hook
U+019A;ƚ;Latin Small Letter L with Bar
U+019B;ƛ;Latin Small Letter Lambda with Stroke
U+019C;Ɯ;Latin Capital Letter Turned M
U+019D;Ɲ;Latin Capital Letter N with Left Hook
U+019E;ƞ;Latin Small Letter N with Long Right Leg
U+019F;Ɵ;Latin Capital Letter O with Middle Tilde
U+01A0;Ơ;Latin Capital Letter O with Horn
U+01A1;ơ;Latin Small Letter O with Horn
U+01A2;Ƣ;Latin Capital Letter OI (= Latin Capital Letter Gha)
U+01A3;ƣ;Latin Small Letter OI (= Latin Small Letter Gha)
U+01A4;Ƥ;Latin Capital Letter P with Hook
U+01A5;ƥ;Latin Small Letter P with Hook
U+01A6;Ʀ;Latin Letter YR
U+01A7;Ƨ;Latin Capital Letter Tone Two
U+01A8;ƨ;Latin Small Letter Tone Two
U+01A9;Ʃ;Latin Capital Letter Esh
U+01AA;ƪ;Latin Letter Reversed Esh Loop
U+01AB;ƫ;Latin Small Letter T with Palatal Hook
U+01AC;Ƭ;Latin Capital Letter T with Hook
U+01AD;ƭ;Latin Small Letter T with Hook
U+01AE;Ʈ;Latin Capital Letter T with Retroflex Hook
U+01AF;Ư;Latin Capital Letter U with Horn
U+01B0;ư;Latin Small Letter U with Horn
U+01B1;Ʊ;Latin Capital Letter Upsilon
U+01B2;Ʋ;Latin Capital Letter V with Hook
U+01B3;Ƴ;Latin Capital Letter Y with Hook
U+01B4;ƴ;Latin Small Letter Y with Hook
U+01B5;Ƶ;Latin Capital Letter Z with Stroke
U+01B6;ƶ;Latin Small Letter Z with Stroke
U+01B7;Ʒ;Latin Capital Letter Ezh
U+01B8;Ƹ;Latin Capital Letter Ezh Reversed
U+01B9;ƹ;Latin Small Letter Ezh Reversed
U+01BA;ƺ;Latin Small Letter Ezh with Tail
U+01BB;ƻ;Latin Letter Two with Stroke
U+01BC;Ƽ;Latin Capital Letter Tone Five
U+01BD;ƽ;Latin Small Letter Tone Five
U+01BE;ƾ;Latin Letter Inverted Glottal Stop with Stroke
U+01BF;ƿ;Latin Letter Wynn
U+01C0;ǀ;Latin Letter Dental Click
U+01C1;ǁ;Latin Letter Lateral Click
U+01C2;ǂ;Latin Letter Alveolar Click
U+01C3;ǃ;Latin Letter Retroflex Click
U+01C4;Ǆ;Latin Capital Letter DZ with Caron
U+01C5;ǅ;Latin Capital Letter D with Small Letter Z with Caron
U+01C6;ǆ;Latin Small Letter DZ with Caron
U+01C7;Ǉ;Latin Capital Letter LJ
U+01C8;ǈ;Latin Capital Letter L with Small Letter J
U+01C9;ǉ;Latin Small Letter LJ
U+01CA;Ǌ;Latin Capital Letter NJ
U+01CB;ǋ;Latin Capital Letter N with Small Letter J
U+01CC;ǌ;Latin Small Letter NJ
U+01CD;Ǎ;Latin Capital Letter A with Caron
U+01CE;ǎ;Latin Small Letter A with Caron
U+01CF;Ǐ;Latin Capital Letter I with Caron
U+01D0;ǐ;Latin Small Letter I with Caron
U+01D1;Ǒ;Latin Capital Letter O with Caron
U+01D2;ǒ;Latin Small Letter O with Caron
U+01D3;Ǔ;Latin Capital Letter U with Caron
U+01D4;ǔ;Latin Small Letter U with Caron
U+01D5;Ǖ;Latin Capital Letter U with Diaeresis and Macron
U+01D6;ǖ;Latin Small Letter U with Diaeresis and Macron
U+01D7;Ǘ;Latin Capital Letter U with Diaeresis and Acute
U+01D8;ǘ;Latin Small Letter U with Diaeresis and Acute
U+01D9;Ǚ;Latin Capital Letter U with Diaeresis and Caron
U+01DA;ǚ;Latin Small Letter U with Diaeresis and Caron
U+01DB;Ǜ;Latin Capital Letter U with Diaeresis and Grave
U+01DC;ǜ;Latin Small Letter U with Diaeresis and Grave
U+01DD;ǝ;Latin Small Letter Turned E
U+01DE;Ǟ;Latin Capital Letter A with Diaeresis and Macron
U+01DF;ǟ;Latin Small Letter A with Diaeresis and Macron
U+01E0;Ǡ;Latin Capital Letter A with Dot Above and Macron
U+01E1;ǡ;Latin Small Letter A with Dot Above and Macron
U+01E2;Ǣ;Latin Capital Letter AE with Macron
U+01E3;ǣ;Latin Small Letter AE with Macron
U+01E4;Ǥ;Latin Capital Letter G with Stroke
U+01E5;ǥ;Latin Small Letter G with Stroke
U+01E6;Ǧ;Latin Capital Letter G with Caron
U+01E7;ǧ;Latin Small Letter G with Caron
U+01E8;Ǩ;Latin Capital Letter K with Caron
U+01E9;ǩ;Latin Small Letter K with Caron
U+01EA;Ǫ;Latin Capital Letter O with Ogonek
U+01EB;ǫ;Latin Small Letter O with Ogonek
U+01EC;Ǭ;Latin Capital Letter O with Ogonek and Macron
U+01ED;ǭ;Latin Small Letter O with Ogonek and Macron
U+01EE;Ǯ;Latin Capital Letter Ezh with Caron
U+01EF;ǯ;Latin Small Letter Ezh with Caron
U+01F0;ǰ;Latin Small Letter J with Caron
U+01F1;Ǳ;Latin Capital Letter DZ
U+01F2;ǲ;Latin Capital Letter D with Small Letter Z
U+01F3;ǳ;Latin Small Letter DZ
U+01F4;Ǵ;Latin Capital Letter G with Acute
U+01F5;ǵ;Latin Small Letter G with Acute
U+01F6;Ƕ;Latin Capital Letter Hwair
U+01F7;Ƿ;Latin Capital Letter Wynn
U+01F8;Ǹ;Latin Capital Letter N with Grave
U+01F9;ǹ;Latin Small Letter N with Grave
U+01FA;Ǻ;Latin Capital Letter A with Ring Above and Acute
U+01FB;ǻ;Latin Small Letter A with Ring Above and Acute
U+01FC;Ǽ;Latin Capital Letter AE with Acute
U+01FD;ǽ;Latin Small Letter AE with Acute
U+01FE;Ǿ;Latin Capital Letter O with Stroke and Acute
U+01FF;ǿ;Latin Small Letter O with Stroke and Acute
U+0200;Ȁ;Latin Capital Letter A with Double Grave
U+0201;ȁ;Latin Small Letter A with Double Grave
U+0202;Ȃ;Latin Capital Letter A with Inverted Breve
U+0203;ȃ;Latin Small Letter A with Inverted Breve
U+0204;Ȅ;Latin Capital Letter E with Double Grave
U+0205;ȅ;Latin Small Letter E with Double Grave
U+0206;Ȇ;Latin Capital Letter E with Inverted Breve
U+0207;ȇ;Latin Small Letter E with Inverted Breve
U+0208;Ȉ;Latin Capital Letter I with Double Grave
U+0209;ȉ;Latin Small Letter I with Double Grave
U+020A;Ȋ;Latin Capital Letter I with Inverted Breve
U+020B;ȋ;Latin Small Letter I with Inverted Breve
U+020C;Ȍ;Latin Capital Letter O with Double Grave
U+020D;ȍ;Latin Small Letter O with Double Grave
U+020E;Ȏ;Latin Capital Letter O with Inverted Breve
U+020F;ȏ;Latin Small Letter O with Inverted Breve
U+0210;Ȑ;Latin Capital Letter R with Double Grave
U+0211;ȑ;Latin Small Letter R with Double Grave
U+0212;Ȓ;Latin Capital Letter R with Inverted Breve
U+0213;ȓ;Latin Small Letter R with Inverted Breve
U+0214;Ȕ;Latin Capital Letter U with Double Grave
U+0215;ȕ;Latin Small Letter U with Double Grave
U+0216;Ȗ;Latin Capital Letter U with Inverted Breve
U+0217;ȗ;Latin Small Letter U with Inverted Breve
U+0218;Ș;Latin Capital Letter S with Comma Below
U+0219;ș;Latin Small Letter S with Comma Below
U+021A;Ț;Latin Capital Letter T with Comma Below
U+021B;ț;Latin Small Letter T with Comma Below
U+021C;Ȝ;Latin Capital Letter Yogh
U+021D;ȝ;Latin Small Letter Yogh
U+021E;Ȟ;Latin Capital Letter H with Caron
U+021F;ȟ;Latin Small Letter H with Caron
U+0220;Ƞ;Latin Capital Letter N with Long Right Leg
U+0221;ȡ;Latin Small Letter D with Curl
U+0222;Ȣ;Latin Capital Letter OU
U+0223;ȣ;Latin Small Letter OU
U+0224;Ȥ;Latin Capital Letter Z with Hook
U+0225;ȥ;Latin Small Letter Z with Hook
U+0226;Ȧ;Latin Capital Letter A with Dot Above
U+0227;ȧ;Latin Small Letter A with Dot Above
U+0228;Ȩ;Latin Capital Letter E with Cedilla
U+0229;ȩ;Latin Small Letter E with Cedilla
U+022A;Ȫ;Latin Capital Letter O with Diaeresis and Macron
U+022B;ȫ;Latin Small Letter O with Diaeresis and Macron
U+022C;Ȭ;Latin Capital Letter O with Tilde and Macron
U+022D;ȭ;Latin Small Letter O with Tilde and Macron
U+022E;Ȯ;Latin Capital Letter O with Dot Above
U+022F;ȯ;Latin Small Letter O with Dot Above
U+0230;Ȱ;Latin Capital Letter O with Dot Above and Macron
U+0231;ȱ;Latin Small Letter O with Dot Above and Macron
U+0232;Ȳ;Latin Capital Letter Y with Macron
U+0233;ȳ;Latin Small Letter Y with Macron
U+0234;ȴ;Latin Small Letter L with Curl
U+0235;ȵ;Latin Small Letter N with Curl
U+0236;ȶ;Latin Small Letter T with Curl
U+0237;ȷ;Latin Small Letter Dotless J
U+0238;ȸ;Latin Small Letter DB Digraph
U+0239;ȹ;Latin Small Letter QP Digraph
U+023A;Ⱥ;Latin Capital Letter A with Stroke
U+023B;Ȼ;Latin Capital Letter C with Stroke
U+023C;ȼ;Latin Small Letter C with Stroke
U+023D;Ƚ;Latin Capital Letter L with Bar
U+023E;Ⱦ;Latin Capital Letter T with Diagonal Stroke
U+023F;ȿ;Latin Small Letter S with Swash Tail
U+0240;ɀ;Latin Small Letter Z with Swash Tail
U+0241;Ɂ;Latin Capital Letter Glottal Stop
U+0242;ɂ;Latin Small Letter Glottal Stop
U+0243;Ƀ;Latin Capital Letter B with Stroke
U+0244;Ʉ;Latin Capital Letter U Bar
U+0245;Ʌ;Latin Capital Letter Turned V
U+0246;Ɇ;Latin Capital Letter E with Stroke
U+0247;ɇ;Latin Small Letter E with Stroke
U+0248;Ɉ;Latin Capital Letter J with Stroke
U+0249;ɉ;Latin Small Letter J with Stroke
U+024A;Ɋ;Latin Capital Letter Q with Hook Tail
U+024B;ɋ;Latin Small Letter Q with Hook Tail
U+024C;Ɍ;Latin Capital Letter R with stroke
U+024D;ɍ;Latin Small Letter R with Stroke
U+024E;Ɏ;Latin Capital Letter Y with Stroke
U+024F;ɏ;Latin Small Letter Y with Stroke
U+1E00;Ḁ;Latin Capital Letter A with ring below
U+1E01;ḁ;Latin Small Letter A with ring below
U+1E02;Ḃ;Latin Capital Letter B with dot above
U+1E03;ḃ;Latin Small Letter B with dot above
U+1E04;Ḅ;Latin Capital Letter B with dot below
U+1E05;ḅ;Latin Small Letter B with dot below
U+1E06;Ḇ;Latin Capital Letter B with line below
U+1E07;ḇ;Latin Small Letter B with line below
U+1E08;Ḉ;Latin Capital Letter C with cedilla and acute
U+1E09;ḉ;Latin Small Letter C with cedilla and acute
U+1E0A;Ḋ;Latin Capital Letter D with dot above
U+1E0B;ḋ;Latin Small Letter D with dot above
U+1E0C;Ḍ;Latin Capital Letter D with dot below
U+1E0D;ḍ;Latin Small Letter D with dot below
